developer-agreement-contribution,developer-agreement,developer-contribution-purpose,amount,entry-date,start-date,end-date
1,1,affordable-housing,167000.00,2017-12-14,2017-12-14,
2,2,affordable-housing,276317.00,2018-03-08,2018-03-08,
3,3,affordable-housing,32500.00,2018-08-20,2018-08-20,
4,3,affordable-housing,32500.00,2018-08-20,2018-08-20,
5,4,green-infrastructure,47250.00,2017-08-18,2017-08-18,
6,4,green-infrastructure,13267.40,2017-08-18,2017-08-18,
7,4,public-transport,16000.00,2017-08-18,2017-08-18,
8,4,green-infrastructure,45000.00,2017-08-18,2017-08-18,
9,4,highways,6000.00,2017-08-18,2017-08-18,
10,5,highways,6000.00,2017-10-16,2017-10-16,
