developer-contribution-purpose,name,entry-date,start-date,end-date
affordable-housing,Affordable housing,2018-12-04,2018-12-04,
education,Education,2018-12-04,2018-12-04,
health,Health,2018-12-04,2018-12-04,
highways,Highways,2018-12-04,2018-12-04,
transport,Transport,2018-12-04,2018-12-04,
open-space,Open space,2018-12-04,2018-12-04,
commumnity-facilities,Community facilities,2018-12-04,2018-12-04,
green-infrastructure,Green infrastructure,2018-12-04,2018-12-04,
other,Other,2018-12-04,2018-12-04,
community-infrastructure-levy,Community infrastructure levy,2018-12-04,2018-12-04,
